1,2016-06-27 19:27:20,Cathy,约P喈！认啦！从此本性暴露
2,2016-06-25 20:50:49,红尘如梦,吴亦凡的公关团是害他吧？还告？自己黑自己
3,2016-06-25 15:38:01,0.0,不告说明是真的，我希望吴亦凡能正视自己的错误，出来给小桃桃道歉正式分手，这样我相信很多人会理解的，如果一味的逃避，是不对的。本来我是你的粉丝，但是这件事的处理方式确实是你不对了，希望大家帮我顶起来让凡凡看到，不怕你犯错，就怕你不承认错误。
4,2016-06-25 15:01:39,月牙兒,女主事件是真的他好意思敢告么
5,2016-06-25 11:13:20,冰,吴亦凡真丑，长得像人妖
6,2016-06-24 20:44:30,光头强感冒了…,尼玛，一个加拿大人赚中国人钱，有脸在中国起诉中国人！
7,2016-06-24 18:38:39,tank,冠希哥可以付出了 不然不公平
8,2016-06-24 18:02:47,紫老虎,花钱能摆平也好啊，国民老公为啥就没这么多新闻呢
9,2016-06-24 17:40:30,正儿八经的排骨虾,漂亮的粉睡了，剩一群脑残的歪瓜劣枣和网民作战 ！
10,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
11,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
12,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
13,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
14,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
15,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
16,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
17,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
18,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
19,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
20,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
21,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
22,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
23,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
24,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
25,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
26,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
27,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
